CTRY,UNCTRY,PHYSINT,DISAP,POLPRIS,FORMOV,DOMMOV,SPEECH,WECON,WOPOL,WOSOC,
"Estonia",233,7,2,2,2,2,2,2,2,,
"Ethiopia",231,2,1,0,1,2,0,0,2,,
"Fiji",242,5,2,1,1,2,0,2,1,,
"Finland",246,8,2,2,2,2,1,3,3,,
"France",250,7,2,2,2,1,1,2,2,,
"Gabon",266,6,2,1,2,0,1,0,2,,
"Gambia, The",270,3,2,0,1,2,1,1,2,,
"Georgia",268,4,2,1,2,1,1,1,2,,
"Germany",276,7,2,1,2,2,1,3,3,,
"Ghana",288,4,2,1,2,2,1,1,2,,
"Greece",300,6,2,2,2,2,1,2,2,,
"Grenada",308,6,2,2,2,2,2,2,2,,
"Guatemala",320,5,2,2,2,2,1,1,2,,
"Guinea",324,4,2,1,2,0,1,0,2,,
"Guinea-Bissau",624,6,2,2,2,2,1,0,2,,
"Guyana",328,6,2,2,2,2,0,0,2,,
"Haiti",332,4,1,2,2,2,1,0,2,,
"Honduras",340,3,1,1,1,2,1,1,2,,
"Hungary",348,6,2,2,2,2,1,1,2,,
"Iceland",352,8,2,2,2,2,1,3,3,,
"India",356,0,0,0,1,2,1,1,3,,
"Indonesia",360,3,2,0,1,2,1,1,2,,
"Iran",364,0,0,0,0,0,0,0,1,,
"Iraq",368,3,2,0,0,1,0,0,2,,
"Ireland",372,6,2,2,2,2,1,3,2,,
"Israel",376,2,2,0,0,0,1,1,2,,
"Italy",380,6,2,2,2,2,1,3,2,,
"Jamaica",388,5,2,2,2,2,2,1,2,,
"Japan",392,6,2,2,2,2,2,1,2,,
"Jordan",400,3,1,1,0,2,0,0,2,,
"Kazakhstan",398,2,0,1,1,1,1,1,2,,
"Kenya",404,4,2,1,1,0,1,0,2,,
"Kiribati",296,8,2,2,2,2,2,0,2,,
"Korea, Democratic People's Republic of",408,1,1,0,0,0,0,1,2,,
"Korea, Republic of",410,4,2,0,1,2,1,3,2,,
"Kosovo",,7,2,2,2,2,1,1,3,,
"Kuwait",414,5,2,1,0,2,0,0,1,,
"Kyrgyz Republic",417,2,0,1,1,1,1,1,2,,
"Laos",418,5,2,1,1,1,0,1,2,,
"Latvia",428,6,2,1,2,2,1,1,2,,
"Lebanon",422,3,1,1,1,1,1,0,1,,
"Lesotho",426,7,2,2,2,2,0,2,2,,
"Liberia",430,5,2,1,2,1,1,2,2,,
"Libya",434,0,0,0,0,1,0,1,1,,
"Liechtenstein",438,8,2,2,2,2,1,3,2,,
"Lithuania",440,7,2,2,2,2,1,2,2,,
"Luxembourg",442,8,2,2,2,2,2,3,3,,
"Macedonia",807,4,2,1,2,2,1,2,2,,
"Madagascar",450,3,2,0,1,2,1,2,2,,
"Malawi",454,5,2,1,2,2,1,1,2,,
"Malaysia",458,3,2,0,1,1,0,1,2,,
"Maldives",462,6,2,1,2,2,1,0,2,,
"Mali",466,6,2,2,2,2,2,0,2,,
"Malta",470,7,2,1,2,2,1,3,2,,
"Marshall Islands",584,8,2,2,2,2,2,2,2,,
"Mauritania",478,2,1,0,2,0,0,1,2,,
"Mauritius",480,7,2,2,2,2,0,2,2,,
"Mexico",484,2,0,1,2,2,1,2,2,,
"Micronesia, Federated States of",583,7,2,2,2,2,2,2,1,,
"Moldova",498,5,2,1,1,2,1,2,2,,
"Monaco",492,8,2,2,2,2,1,3,2,,
"Mongolia",496,6,2,2,2,2,1,2,2,,
"Montenegro",499,7,2,2,2,2,1,1,2,,
"Morocco",504,3,1,0,1,2,1,1,2,,
"Mozambique",508,5,2,2,2,0,1,1,3,,
"Namibia",516,4,2,0,2,2,1,1,2,,
"Nauru",520,8,2,2,2,2,2,2,1,,
"Nepal",524,4,2,1,2,2,1,1,3,,
"Netherlands",528,8,2,2,2,2,1,3,3,,
"New Zealand",554,8,2,2,2,2,2,3,3,,
"Nicaragua",558,4,2,1,1,2,1,1,2,,
"Niger",562,5,2,1,1,1,1,1,2,,
"Nigeria",566,0,0,0,1,0,1,0,2,,
"Norway",578,8,2,2,2,2,1,3,3,,
"Oman",512,3,1,0,2,2,0,1,2,,
"Pakistan",586,0,0,0,1,1,0,1,2,,
"Palau",585,8,2,2,2,2,2,3,2,,
"Panama",591,7,2,2,2,2,1,2,2,,
